"Device","Function Group","Function Name","Zone","ID1 Code","ID2 Code","Comment","Export Comment – starting this with # will comment out the code as well"
"RECEIVER","INPUT","INPUT-","ZONE4","7A-2659","7A-2658","3067",
"RECEIVER","INPUT","INPUT+","MAIN","7A-1F60","7A-1F61",,
"RECEIVER","INPUT","INPUT+","ZONE2","7A-205F","7A-205E",,
"RECEIVER","INPUT","INPUT+","ZONE3","7A-215E","7A-215F","2067 3067",
"RECEIVER","INPUT","INPUT+","ZONE4","7A-225D","7A-225C","3067",
"RECEIVER","INPUT","MULTI_CH_IN","MAIN","7A-87","7A-8779",,
"RECEIVER","INPUT","NET","MAIN","7F01-3F","7F01-3FC1","867 1067 2067 3067",
"RECEIVER","INPUT","NET","ZONE2","7F01-40","7F01-40BE","867 1067 2067 3067",
"RECEIVER","INPUT","NET","ZONE3","7F01-41","7F01-41BF","2067 3067",
"RECEIVER","INPUT","PHONO","MAIN","7A-14","7A-14EA","667 767 1067 2067 3067",
"RECEIVER","INPUT","PHONO","ZONE2","7A-D0","7A-D02E","667 767 1067 2067 3067",
"RECEIVER","INPUT","PHONO","ZONE3","7A-F1","7A-F10F","2067 3067",
"RECEIVER","INPUT","SIRIUS","MAIN","7A-39","7A-39C7","U",
"RECEIVER","INPUT","SIRIUS","ZONE2","7A-3A","7A-3AC4","U",
"RECEIVER","INPUT","SIRIUS","ZONE3","7A-3B","7A-3BC5","2067U 3067U",
"RECEIVER","INPUT","TUNER","MAIN","7A-16","7A-16E8",,
"RECEIVER","INPUT","TUNER","ZONE2","7A-D2","7A-D22C",,
"RECEIVER","INPUT","TUNER","ZONE3","7A-F3","7A-F30D","2067 3067",
"RECEIVER","INPUT","USB","MAIN","7F01-720D","7F01-720C","1067 2067 3067",
"RECEIVER","INPUT","USB","ZONE2","7F01-730C","7F01-730D","1067 2067 3067",
"RECEIVER","INPUT","USB","ZONE3","7F01-740B","7F01-740A","2067 3067",
"RECEIVER","DISPLAY","INFO","MAIN","7A-2758","7A-2759",,
"RECEIVER","DISPLAY","DISPLAY","MAIN","7F01-60","7F01-609E",,
"RECEIVER","DISPLAY","DISPLAY","ZONE2","7F01-80","7F01-807E","2067 3067",
"RECEIVER","DISPLAY","DISPLAY","ZONE3","7F01-A0","7F01-A05E","2067 3067",
"RECEIVER","DISPLAY","DISPLAY","ZONE4","7F01-C0","7F01-C03E","3067",
"RECEIVER","NUMBER","0","MAIN","7F01-5A","7F01-5AA4",,
"RECEIVER","NUMBER","0","ZONE2","7F01-7A","7F01-7A84",,
"RECEIVER","NUMBER","0","ZONE3","7F01-9A","7F01-9A64","2067 3067",
"RECEIVER","NUMBER","1","MAIN","7F01-51","7F01-51AF",,
"RECEIVER","NUMBER","1","ZONE2","7F01-71","7F01-718F",,
"RECEIVER","NUMBER","1","ZONE3","7F01-91","7F01-916F","2067 3067",
"RECEIVER","NUMBER","2","MAIN","7F01-52","7F01-52AC",,
"RECEIVER","NUMBER","2","ZONE2","7F01-72","7F01-728C",,
"RECEIVER","NUMBER","2","ZONE3","7F01-92","7F01-926C","2067 3067",
"RECEIVER","NUMBER","3","MAIN","7F01-53","7F01-53AD",,
"RECEIVER","NUMBER","3","ZONE2","7F01-73","7F01-73D8",,
"RECEIVER","NUMBER","3","ZONE3","7F01-93","7F01-936D","2067 3067",
"RECEIVER","NUMBER","4","MAIN","7F01-54","7F01-54AA",,
"RECEIVER","NUMBER","4","ZONE2","7F01-74","7F01-748A",,
"RECEIVER","NUMBER","4","ZONE3","7F01-94","7F01-946A","2067 3067",
"RECEIVER","NUMBER","5","MAIN","7F01-55","7F01-55AB",,
"RECEIVER","NUMBER","5","ZONE2","7F01-75","7F01-758B",,
"RECEIVER","NUMBER","5","ZONE3","7F01-95","7F01-956B","2067 3067",
"RECEIVER","NUMBER","6","MAIN","7F01-56","7F01-56A8",,
"RECEIVER","NUMBER","6","ZONE2","7F01-76","7F01-7688",,
"RECEIVER","NUMBER","6","ZONE3","7F01-96","7F01-9668","2067 3067",
"RECEIVER","NUMBER","7","MAIN","7F01-57","7F01-57A9",,
"RECEIVER","NUMBER","7","ZONE2","7F01-77","7F01-7789",,
"RECEIVER","NUMBER","7","ZONE3","7F01-97","7F01-9769","2067 3067",
"RECEIVER","NUMBER","8","MAIN","7F01-58","7F01-58A6",,
"RECEIVER","NUMBER","8","ZONE2","7F01-78","7F01-7886",,
"RECEIVER","NUMBER","8","ZONE3","7F01-98","7F01-9866","2067 3067",
"RECEIVER","NUMBER","9","MAIN","7F01-59","7F01-59A7",,
"RECEIVER","NUMBER","9","ZONE2","7F01-79","7F01-7987",,
"RECEIVER","NUMBER","9","ZONE3","7F01-99","7F01-9967","2067 3067",
